level_0,Symbols,Close,High,Low,Open,Volume
2020-04-01,BNTX,52.4173,57.6422,51.9815,55.8147,261594.9004758
2020-04-01,MRNA,29.67,30.94,29.44,30.05,7004587.0
2020-04-02,AMZN,95.9415,96.3763,94.5,95.082,86719700.0
2020-04-02,BNTX,56.3694,56.3892,52.4966,54.9728,248254.17640152
2020-04-02,MRNA,33.2,33.39,29.84,30.6,15934404.0
2020-04-03,AMZN,95.3295,96.3165,94.4575,95.5575,72197400.0
2020-04-03,BNTX,52.2489,57.4292,51.516,57.4292,229480.84779843
2020-04-03,MRNA,34.84,35.66,32.72,32.81,16896224.0
2020-04-06,AMZN,99.8795,99.926,96.501,96.8,115463620.0
2020-04-06,BNTX,52.2291,55.0719,51.9023,54.9728,334360.10003156
2020-04-06,MRNA,34.64,35.185,33.33,34.91,10841594.0
2020-04-07,AMZN,100.58,101.786,99.881,100.855,102279660.0
2020-04-07,BNTX,45.1668,49.7231,43.582,49.525,1475742.1338547
2020-04-07,MRNA,32.02,34.03,30.9801,33.81,10104337.0
2020-04-08,AMZN,102.15,102.2,100.558,101.05,79546260.0
2020-04-08,BNTX,44.523,47.6431,44.0873,47.6431,827642.81234593
2020-04-08,MRNA,32.42,32.94,31.7501,32.36,4119844.0
2020-04-09,AMZN,102.138,102.65,100.883,102.215,93112340.0
2020-04-09,BNTX,44.9786,52.4966,44.5725,51.516,1497238.3270581
2020-04-09,MRNA,31.86,32.92,31.32,32.55,4861753.0
2020-04-13,AMZN,108.444,109.0,101.9,102.0,134334180.0
2020-04-13,BNTX,41.3138,45.9493,40.6105,45.5829,889152.09146093
2020-04-13,MRNA,32.9,32.98,31.71,32.0,5603883.0
2020-04-14,AMZN,114.166,114.6,109.31,110.023,161743860.0
2020-04-14,BNTX,41.2346,43.5622,41.0067,43.4038,872165.73740086
2020-04-14,MRNA,34.66,34.99,33.15,34.0,8126897.0
2020-04-15,AMZN,115.384,116.668,112.25,112.884,137331340.0
2020-04-15,BNTX,38.2135,40.8483,37.7678,40.5115,990029.32838981
2020-04-15,MRNA,37.25,38.45,33.72,34.64,15682994.0
2020-04-16,AMZN,120.41,123.05,116.75,117.3,240764020.0
2020-04-16,BNTX,38.4215,38.8871,36.6485,38.3918,857509.51737768
2020-04-16,MRNA,40.6,41.55,36.62,38.0735,20670718.0
2020-04-17,AMZN,118.75,120.0,115.801,118.616,158600200.0
2020-04-17,BNTX,40.4223,41.3107,38.506,39.9172,1017951.5628171
2020-04-17,MRNA,46.85,49.0,43.38,48.99,32285976.0
2020-04-20,AMZN,119.681,122.249,119.303,119.497,115413880.0
2020-04-20,BNTX,42.958,45.464,40.6105,41.0959,1291022.4743836
2020-04-20,MRNA,51.69,54.95,44.51,45.0,34102467.0
2020-04-21,AMZN,116.406,121.415,113.983,120.83,149533580.0
2020-04-21,BNTX,41.8586,45.464,39.4219,44.84,1521723.916658
2020-04-21,MRNA,49.26,56.38,43.11,53.0,39641959.0
2020-04-22,AMZN,118.174,119.7,117.55,118.45,84365900.0
2020-04-22,BNTX,52.9918,55.3195,44.7706,53.9229,10975354.332012
2020-04-22,MRNA,51.2,51.82,49.06,50.61,11690439.0
2020-04-23,AMZN,119.972,121.211,119.104,119.999,101331040.0
2020-04-23,BNTX,49.525,57.4491,48.7525,57.4491,4312129.0875514
2020-04-23,MRNA,47.44,50.7,46.89,49.1,15152351.0
2020-04-24,AMZN,120.511,121.022,119.1,120.85,76635940.0
2020-04-24,BNTX,47.2964,51.0009,47.1478,50.7533,1849953.7853759
2020-04-24,MRNA,50.5,50.5,47.1416,47.15,11712457.0
2020-04-27,AMZN,118.8,122.244,118.15,122.16,112912900.0
2020-04-27,BNTX,48.9307,49.7727,47.7025,48.4256,1194674.2588107
2020-04-27,MRNA,48.05,51.7,47.3,51.53,13744397.0
2020-04-28,AMZN,115.704,118.675,115.3,118.605,105388920.0
2020-04-28,BNTX,45.3947,48.5147,44.3744,48.1383,1525691.6058976
2020-04-28,MRNA,47.88,50.45,47.17,50.4,13067207.0
2020-04-29,AMZN,118.636,119.594,115.5,116.501,91831860.0
